StoreID,Product,StoreName,Region,Category,Gender,Brand,StoreProductKey,OnHandUnits,OnOrderUnits,ReorderPoint,AsOfDate,ReorderFlag
S001,NorthPeak Backpacks Free,West Outlet 1,West,Backpacks,Women,NorthPeak,S001||NorthPeak Backpacks Free,56,1,23,2025-10-13,False
S001,NorthPeak Backpacks Front,West Outlet 1,West,Backpacks,Unisex,NorthPeak,S001||NorthPeak Backpacks Front,79,8,23,2025-10-13,False
S001,NorthPeak Backpacks Image,West Outlet 1,West,Backpacks,Unisex,NorthPeak,S001||NorthPeak Backpacks Image,28,4,23,2025-10-13,False
S001,NorthPeak Backpacks Little,West Outlet 1,West,Backpacks,Women,NorthPeak,S001||NorthPeak Backpacks Little,34,7,23,2025-10-13,False
S001,NorthPeak Backpacks Often,West Outlet 1,West,Backpacks,Women,NorthPeak,S001||NorthPeak Backpacks Often,68,7,23,2025-10-13,False
S001,NorthPeak Backpacks Ok,West Outlet 1,West,Backpacks,Women,NorthPeak,S001||NorthPeak Backpacks Ok,64,4,23,2025-10-13,False
S001,NorthPeak Backpacks Out,West Outlet 1,West,Backpacks,Unisex,NorthPeak,S001||NorthPeak Backpacks Out,66,7,23,2025-10-13,False
S001,NorthPeak Backpacks Particular,West Outlet 1,West,Backpacks,Unisex,NorthPeak,S001||NorthPeak Backpacks Particular,68,3,23,2025-10-13,False
S001,NorthPeak Backpacks Population,West Outlet 1,West,Backpacks,Unisex,NorthPeak,S001||NorthPeak Backpacks Population,55,5,23,2025-10-13,False
S001,NorthPeak Backpacks Six,West Outlet 1,West,Backpacks,Men,NorthPeak,S001||NorthPeak Backpacks Six,64,15,23,2025-10-13,False
S001,NorthPeak Backpacks Visit,West Outlet 1,West,Backpacks,Men,NorthPeak,S001||NorthPeak Backpacks Visit,13,10,23,2025-10-13,True
S001,NorthPeak Backpacks What,West Outlet 1,West,Backpacks,Women,NorthPeak,S001||NorthPeak Backpacks What,12,7,23,2025-10-13,True
S001,NorthPeak Footwear Available,West Outlet 1,West,Footwear,Men,NorthPeak,S001||NorthPeak Footwear Available,90,17,37,2025-10-13,False
S001,NorthPeak Footwear Each,West Outlet 1,West,Footwear,Women,NorthPeak,S001||NorthPeak Footwear Each,15,2,37,2025-10-13,True
S001,NorthPeak Footwear Indeed,West Outlet 1,West,Footwear,Unisex,NorthPeak,S001||NorthPeak Footwear Indeed,13,12,37,2025-10-13,True
S001,NorthPeak Footwear Keep,West Outlet 1,West,Footwear,Unisex,NorthPeak,S001||NorthPeak Footwear Keep,81,17,37,2025-10-13,False
S001,NorthPeak Footwear Place,West Outlet 1,West,Footwear,Unisex,NorthPeak,S001||NorthPeak Footwear Place,71,3,37,2025-10-13,False
S001,NorthPeak Footwear Toward,West Outlet 1,West,Footwear,Unisex,NorthPeak,S001||NorthPeak Footwear Toward,62,0,37,2025-10-13,False
S001,NorthPeak Footwear Write,West Outlet 1,West,Footwear,Women,NorthPeak,S001||NorthPeak Footwear Write,98,14,37,2025-10-13,False
S001,NorthPeak Jackets Avoid,West Outlet 1,West,Jackets,Unisex,NorthPeak,S001||NorthPeak Jackets Avoid,29,0,18,2025-10-13,False
S001,NorthPeak Jackets Chair,West Outlet 1,West,Jackets,Men,NorthPeak,S001||NorthPeak Jackets Chair,28,3,18,2025-10-13,False
S001,NorthPeak Jackets Him,West Outlet 1,West,Jackets,Women,NorthPeak,S001||NorthPeak Jackets Him,21,2,18,2025-10-13,False
S001,NorthPeak Jackets Phone,West Outlet 1,West,Jackets,Men,NorthPeak,S001||NorthPeak Jackets Phone,39,2,18,2025-10-13,False
S001,NorthPeak Jackets Save,West Outlet 1,West,Jackets,Unisex,NorthPeak,S001||NorthPeak Jackets Save,12,4,18,2025-10-13,True
S001,NorthPeak Jackets Service,West Outlet 1,West,Jackets,Unisex,NorthPeak,S001||NorthPeak Jackets Service,37,4,18,2025-10-13,False
S001,NorthPeak Jackets Sister,West Outlet 1,West,Jackets,Men,NorthPeak,S001||NorthPeak Jackets Sister,39,3,18,2025-10-13,False
S001,NorthPeak Jackets Thank,West Outlet 1,West,Jackets,Men,NorthPeak,S001||NorthPeak Jackets Thank,26,8,18,2025-10-13,False
S001,NorthPeak Jackets Time,West Outlet 1,West,Jackets,Men,NorthPeak,S001||NorthPeak Jackets Time,5,9,18,2025-10-13,True
S001,NorthPeak Jackets Various,West Outlet 1,West,Jackets,Women,NorthPeak,S001||NorthPeak Jackets Various,59,5,18,2025-10-13,False
S001,NorthPeak Jackets Win,West Outlet 1,West,Jackets,Unisex,NorthPeak,S001||NorthPeak Jackets Win,19,15,18,2025-10-13,False
S001,NorthPeak Shirts Against,West Outlet 1,West,Shirts,Men,NorthPeak,S001||NorthPeak Shirts Against,193,19,61,2025-10-13,False
S001,NorthPeak Shirts Choose,West Outlet 1,West,Shirts,Women,NorthPeak,S001||NorthPeak Shirts Choose,110,14,61,2025-10-13,False
S001,NorthPeak Shirts Grow,West Outlet 1,West,Shirts,Women,NorthPeak,S001||NorthPeak Shirts Grow,165,28,61,2025-10-13,False
S001,NorthPeak Shirts Home,West Outlet 1,West,Shirts,Men,NorthPeak,S001||NorthPeak Shirts Home,27,65,61,2025-10-13,True
S001,NorthPeak Shirts Image,West Outlet 1,West,Shirts,Women,NorthPeak,S001||NorthPeak Shirts Image,100,21,61,2025-10-13,False
S001,NorthPeak Shirts Off,West Outlet 1,West,Shirts,Women,NorthPeak,S001||NorthPeak Shirts Off,148,29,61,2025-10-13,False
S001,NorthPeak Shirts Positive,West Outlet 1,West,Shirts,Unisex,NorthPeak,S001||NorthPeak Shirts Positive,122,35,61,2025-10-13,False
S001,NorthPeak Shirts Realize,West Outlet 1,West,Shirts,Women,NorthPeak,S001||NorthPeak Shirts Realize,143,20,61,2025-10-13,False
S001,NorthPeak Shirts Shoulder,West Outlet 1,West,Shirts,Unisex,NorthPeak,S001||NorthPeak Shirts Shoulder,135,29,61,2025-10-13,False
S001,NorthPeak Shirts Small,West Outlet 1,West,Shirts,Women,NorthPeak,S001||NorthPeak Shirts Small,169,21,61,2025-10-13,False
S001,NorthPeak Trousers According,West Outlet 1,West,Trousers,Unisex,NorthPeak,S001||NorthPeak Trousers According,60,5,45,2025-10-13,False
S001,NorthPeak Trousers Adult,West Outlet 1,West,Trousers,Men,NorthPeak,S001||NorthPeak Trousers Adult,105,6,45,2025-10-13,False
S001,NorthPeak Trousers Believe,West Outlet 1,West,Trousers,Women,NorthPeak,S001||NorthPeak Trousers Believe,122,13,45,2025-10-13,False
S001,NorthPeak Trousers Great,West Outlet 1,West,Trousers,Men,NorthPeak,S001||NorthPeak Trousers Great,48,13,45,2025-10-13,False
S001,NorthPeak Trousers Group,West Outlet 1,West,Trousers,Men,NorthPeak,S001||NorthPeak Trousers Group,122,9,45,2025-10-13,False
S001,NorthPeak Trousers Health,West Outlet 1,West,Trousers,Unisex,NorthPeak,S001||NorthPeak Trousers Health,138,12,45,2025-10-13,False
